        x        cos(x/2)^2  (cos(x/2)^2)'
        3.66     0.065695     0.249915
        3.67     0.068194     0.254233
        3.68     0.070736     0.258525
        3.69     0.073321     0.262792
        3.70     0.075949     0.267032
        3.71     0.078619     0.271246
        3.72     0.081332     0.275433
        3.73     0.084086     0.279592
        3.74     0.086882     0.283723
        3.75     0.089719     0.287826
        3.76     0.092598     0.291900
        3.77     0.095517     0.295945
        3.78     0.098476     0.299960
        3.79     0.101476     0.303945
        3.80     0.104515     0.307900
        3.81     0.107594     0.311824
        3.82     0.110712     0.315717
        3.83     0.113870     0.319578
        3.84     0.117065     0.323407
        3.85     0.120299     0.327204
        3.86     0.123571     0.330968
        3.87     0.126881     0.334700
        3.88     0.130228     0.338397
        3.89     0.133612     0.342061
        3.90     0.137033     0.345691
        3.91     0.140490     0.349286
        3.92     0.143982     0.352846
        3.93     0.147511     0.356371
        3.94     0.151075     0.359860
        3.95     0.154673     0.363313
        3.96     0.158306     0.366730
        3.97     0.161974     0.370110
        3.98     0.165675     0.373454
        3.99     0.169409     0.376759
        4.00     0.173177     0.380037
        4.01     0.176977     0.383267
        4.02     0.180810     0.386459
        4.03     0.184675     0.389612
        4.04     0.188571     0.392727
        4.05     0.192498     0.395802
        4.06     0.196456     0.398838
        4.07     0.200444     0.401833
        4.08     0.204463     0.404789
        4.09     0.208511     0.407704
        4.10     0.212588     0.410578
        4.11     0.216693     0.413411
        4.12     0.220827     0.416203
        4.13     0.224990     0.418953
        4.14     0.229179     0.421661
        4.15     0.233396     0.424328
        4.16     0.237639     0.426951
        4.17     0.241908     0.429532
        4.18     0.246204     0.432070
        4.19     0.250524     0.434565
        4.20     0.254870     0.437017
        4.21     0.259240     0.439424
        4.22     0.263635     0.441788
        4.23     0.268052     0.444108
        4.24     0.272493     0.446383
        4.25     0.276957     0.448613
        4.26     0.281443     0.450799
        4.27     0.285951     0.452939
        4.28     0.290481     0.455035
        4.29     0.295031     0.457085
        4.30     0.299602     0.459089
        4.31     0.304193     0.461047
        4.32     0.308803     0.462959
        4.33     0.313433     0.464824
        4.34     0.318081     0.466644
